ID,E(S1),E(T1),dST
ZINC000001648350,5.227,3.522585962,1.704414038
ZINC000096024138,5.648,3.942759849,1.705240151
ZINC000068603570,3.8427,2.123490267,1.719209733
ZINC000005085567,5.1979,3.473779602,1.724120398
ZINC000225171160,5.308,3.566461617,1.741538383
ZINC000003848025,4.2979,2.537068112,1.760831888
ZINC000005685336,5.6903,3.909025881,1.781274119
ZINC000000039948,5.3618,3.579904046,1.781895954
ZINC000034049514,5.2177,3.420252065,1.797447935
ZINC000031308436,2.0429,0.243215457,1.799684543
ZINC000000309339,2.6315,0.813979931,1.817520069
ZINC000001556339,4.2176,2.351717688,1.865882312
ZINC000033817464,2.3202,0.428130499,1.892069501
ZINC000000033075,2.2974,0.389454942,1.907945058
ZINC000005776001,3.2966,1.382338917,1.914261083
ZINC000062021842,3.8193,1.90162215,1.91767785
ZINC000077028633,3.4172,1.499342477,1.917857523
ZINC000100909358,3.0565,1.133599546,1.922900454
ZINC000006453869,5.9274,3.966441927,1.960958073
ZINC000004461576,6.0386,4.004809995,2.033790005
ZINC000018101701,5.9424,3.884734268,2.057665732
ZINC000009365342,3.4068,1.337467325,2.069332675
ZINC000089745432,5.5546,3.432146166,2.122453834
ZINC000253431292,3.8625,1.713283915,2.149216085
ZINC000000099010,3.6145,1.462381238,2.152118762
ZINC000096792601,3.6288,1.410366655,2.218433345
ZINC000001859321,3.7215,1.485660587,2.235839413
ZINC000000494828,5.142,2.895945608,2.246054392
ZINC000000527824,5.0286,2.779303959,2.249296041
ZINC000001568197,2.3966,0.101607353,2.294992647
ZINC000104972757,2.8824,0.557591437,2.324808563
ZINC000005672401,4.8004,2.380833882,2.419566118
ZINC000033432567,2.8577,0.398693211,2.459006789
ZINC000005502746,5.7557,3.184495251,2.571204749
ZINC000020204707,4.2902,1.461058764,2.829141236
ZINC000005798684,3.5195,0.579793215,2.939706785
ZINC000005361301,3.9183,0.912275657,3.006024343
ZINC000005330532,4.3352,1.122831997,3.212368003
ZINC000000189786,5.9621,2.622090119,3.340009881
ZINC000003861007,2.78,-0.728106207,3.508106207
