ID,s1_delta_r
ZINC000006452366,1.349311
ZINC000025692403,1.349875
ZINC000096025272,1.350018
ZINC000062006746,1.351296
ZINC000014015635,1.351414
ZINC000064291833,1.352963
ZINC000000267791,1.35586
ZINC000012322452,1.358755
ZINC000084241298,1.359752
ZINC000040468670,1.361253
ZINC000226859642,1.361573
ZINC000216513725,1.364532
ZINC000002262185,1.365895
ZINC000008935636,1.366471
ZINC000001657328,1.366826
ZINC000016545055,1.367083
ZINC000001688055,1.367653
ZINC000016923145,1.368698
ZINC000013233892,1.370431
ZINC000031988097,1.373909
ZINC000000039240,1.375089
ZINC000001708388,1.376346
ZINC000498046535,1.377392
ZINC000006661775,1.377486
ZINC000008441019,1.377803
ZINC000226860211,1.378477
ZINC000020517542,1.380362
ZINC000408977853,1.380436
ZINC000408976926,1.38096
ZINC000008665120,1.382191
ZINC000000481554,1.383227
ZINC000033128533,1.385217
ZINC000058358113,1.387593
ZINC000034514496,1.388811
ZINC000060095021,1.388845
ZINC000020282070,1.390218
ZINC000032534801,1.390406
ZINC000104972757,1.390477
ZINC000002549895,1.393915
ZINC000004615348,1.396306
ZINC000008636586,1.397065
ZINC000000448213,1.398392
ZINC000066091780,1.398699
ZINC000334163618,1.399038
ZINC000048369320,1.399387
ZINC000001319293,1.401022
ZINC000049803748,1.401198
ZINC000000309339,1.40156
ZINC000004898274,1.403484
ZINC000107878657,1.403875
ZINC000012565608,1.404358
ZINC000004338452,1.40551
ZINC000015673777,1.405542
ZINC000003219874,1.40778
ZINC000026897448,1.411679
ZINC000025692373,1.414341
ZINC000004659169,1.414889
ZINC000003078576,1.415081
ZINC000014166570,1.415372
ZINC000017149577,1.415507
ZINC000100878769,1.418577
ZINC000004086291,1.418647
ZINC000012983413,1.418818
ZINC000163345809,1.420791
ZINC000074144080,1.424624
ZINC000000198428,1.424767
ZINC000051354114,1.427352
ZINC000008694290,1.427906
ZINC000001505638,1.429487
ZINC000000185266,1.432868
ZINC000006203164,1.433498
ZINC000011696323,1.437161
ZINC000256009597,1.437606
ZINC000001595277,1.438941
ZINC000003163924,1.439201
ZINC000000715619,1.440119
ZINC000408514964,1.440847
ZINC000150479865,1.443131
ZINC000408733506,1.443269
ZINC000033308956,1.445422
ZINC000002802478,1.447247
ZINC000058324882,1.450033
ZINC000101018293,1.450642
ZINC000022204186,1.451098
ZINC000075259950,1.451353
ZINC000001704033,1.455785
ZINC000005337816,1.456407
ZINC000001273784,1.456542
ZINC000005752721,1.456749
ZINC000009685638,1.456975
ZINC000020991880,1.457663
ZINC000408731944,1.458004
ZINC000103693761,1.459273
ZINC000028166566,1.459353
ZINC000032770595,1.46456
ZINC000067695609,1.466068
ZINC000021810226,1.467382
ZINC000004310057,1.46752
ZINC000005267904,1.468157
ZINC000000303457,1.469055
ZINC000058250586,1.469343
ZINC000002850401,1.47033
ZINC000096316542,1.470883
ZINC000004748503,1.471275
ZINC000004050691,1.47165
ZINC000002994190,1.472873
ZINC000001588101,1.473259
ZINC000001226922,1.474104
ZINC000041105070,1.474594
ZINC000606346769,1.474986
ZINC000031623232,1.475617
ZINC000005721287,1.47605
ZINC000002150703,1.481458
ZINC000005905355,1.481662
ZINC000026960650,1.482942
ZINC000009667596,1.483122
ZINC000003173924,1.483532
ZINC000079336504,1.483885
ZINC000725236935,1.483987
ZINC000002846375,1.484487
ZINC000001122703,1.485442
ZINC000043210293,1.485909
ZINC000095619078,1.486869
ZINC000000115990,1.48824
ZINC000071757085,1.491855
ZINC000008017666,1.492373
ZINC000004891928,1.49263
ZINC000106606230,1.496174
ZINC000003428476,1.496299
ZINC000001713880,1.49719
ZINC001772591695,1.499496
ZINC000055211110,1.499866
