ID,SMILES,E(S1),E(T1)
ZINC000012498513,O=C(Nc1ccc2c(c1Cl)C(=O)c1ccccc1C2=O)c1cccc(Oc2ccccc2)c1,3.079800018,2.655100016
ZINC000012505412,Cc1n[nH]c(=O)c(Cc2ccccc2)n1,3.41990002,2.949400018
ZINC000012508101,CC(=O)c1ccc(S(=O)(=O)Nc2cccc(NC(=O)Nc3ccccc3)c2)cc1,3.698200022,3.242000019
ZINC000012512820,O=C(NC(=S)Nc1ccccn1)c1ccco1,3.515000021,3.067700018
ZINC000012521234,CC(=O)c1ccc(S(=O)(=O)Nc2cccc(NS(C)(=O)=O)c2)cc1,3.605500022,3.123500019
ZINC000000383201,CC(=O)Oc1ccc2c(C)cc(=O)oc2c1C(=O)c1ccccc1,3.677000022,3.179900019
ZINC000012522384,CC(=O)Nc1cccc(NC(N)=S)c1,4.197900025,3.719200022
ZINC000012523899,CCOC(=O)c1ccc(-n2cnc3c2C(=O)c2ccccc2C3=O)cc1,3.126200019,2.673800016
ZINC000000055235,O=C1c2ccccc2C(=O)N1c1nccs1,3.941900024,3.525100021
ZINC000012523975,O=S(=O)(/N=C(/NC(=S)Nc1ccccc1)c1ccccc1)c1ccccc1,3.211100019,2.731500016
ZINC000012524252,CN1c2ccccc2C(C)(C)/C1=C/C(=S)Nc1cccc2ccccc21,3.013600018,2.520500015
ZINC000012524514,Cc1ccnc(NC(=S)N=P(N2CCCCCC2)(N2CCCCCC2)C(C)(C)C)c1,3.729000022,3.560700021
ZINC000012525173,Cc1nnc(Sc2nc(-c3cccs3)c(-c3cccs3)[nH]2)c(C#N)c1C,3.25960002,3.022500018
ZINC000012525799,COC(=O)c1sc(NS(=O)(=O)c2ccc(C(C)=O)cc2)cc1C,3.595000022,3.111900019
ZINC000000384083,O=C(c1ccncc1)c1ccccn1,3.31240002,2.863200017
ZINC000012527873,O=C(Nc1ccccn1)c1ccsc1,4.368600026,3.888200023
ZINC000012528161,O=C(/C=C/c1cccnc1)c1c(=O)[nH]c2ccccc2c1-c1ccccc1,2.975800018,2.610200016
ZINC000000384087,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)n1,3.40800002,2.911500017
ZINC000012530055,O=C(Nc1c(-c2ccccc2)nc2ccccn21)c1cnc2ccccc2n1,3.196000019,2.737400016
ZINC000000384105,S=C(C=C1Sc2ccccc2S1)c1ccccc1,2.175600013,1.809300011
ZINC000012533303,Cc1cccc(NC(=S)Nc2cc(S(=O)(=O)N3CCOCC3)ccc2Cl)n1,3.697900022,3.31340002
ZINC000012533916,CC(=O)c1cccc(Nc2nnc(-c3ccccc3F)o2)c1,3.678100022,3.192100019
ZINC000012534120,Cc1c(CCc2ccncc2)n2ccccc2c1C(=S)Nc1ccc(C(=O)O)cc1,2.862100017,2.506800015
ZINC000000384181,CC(=O)n1nc(-c2nc(C)cc(C)n2)oc1=S,3.32250002,3.030800018
ZINC000000384182,Cc1cc(C)nc(-c2nn(C(=O)c3ccccc3)c(=S)o2)n1,3.125300019,2.831900017
ZINC000012536027,CS(=O)(=O)Nc1cccc(-n2c(=O)c3ccccc3[nH]c2=S)c1,3.724900022,3.28950002
ZINC000012536349,CC(=O)c1cccc(Oc2ccc(S(=O)(=O)N3CCCC3)cn2)c1,3.692400022,3.206900019
ZINC000012536956,Cc1nn2c(nc1=O)c1ccccc1[nH]c2=S,3.214900019,2.897100017
ZINC000012540388,Cc1nc2sccn2c1C(=S)NC(=O)c1ccccc1F,2.451000015,2.157500013
ZINC000012540614,CS(=O)(=O)Nc1ccc(-n2c(=O)c3ccccc3[nH]c2=S)cc1Cl,3.700100022,3.27410002
ZINC000012540699,CC(=O)c1ccc(Nc2nc3ccc(S(=O)(=O)Nc4ccccc4Cl)cc3o2)cc1,3.726200022,3.244400019
ZINC000012542633,CCSC(=S)n1cnc2ccccc21,2.588000015,2.164600013
