ID,SMILES,E(S1),E(T1)
UDADOU,O=C1c2c3OCCOCCOCCOCCOc4cccc(C(=Nc5ccc(cc5)N5C=CC=C5)c2ccc3)c14,3.058400018,2.568500015
UDAFEM,CC(C)(C)OC(=O)NC1=CC(=O)c2c(O)cc(CC3(C)OCCO3)cc2C1=O,2.871000017,2.406100014
UDAGEL,Cc1cc(C)c(c(C)c1)c1cccc(c1P(P(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1)c1c(C)cc(C)cc1C,3.521300021,3.170300019
UDAHOX,Cc1ccc(NC(=NC(=O)c2ccccc2)[N-][n+]2ccccc2)cc1,3.34510002,2.995800018
UDAJIV,CCCCCCCCN1C=CN(C1=[Se])c1cccc(c1)N1C=CN(CCCCCCCC)C1=[Se],3.806800023,3.31630002
UDAJOY,O=C(OCCN(Cc1ccccc1)Cc1ccccc1)C=CC(=O)c1ccccc1,3.36480002,2.944200018
UDAMOE,CC(O)=C(C(C)=O)C1=C(C(c2ccc(Br)cc2)C(=C(C)O1)C(C)=O)c1ccc(cc1)N(=O)=O,2.947100018,2.527300015
UDELUL,[Se]1[Se]C(=CC1=Nc1ccccc1)c1ccccc1,2.899700017,2.494000015
UDETAY,CN(C)C(=S)NC(=O)c1ccc(Cl)cc1,1.959700012,1.583100009
UDEWUX,COCN1C(=Cc2c(Br)c(c(nc12)C(=O)C1=CC=CO1)S(=O)c1cc(C)c(OC)c(C)c1)Cl,3.564200021,3.104600019
UDIJOJ,COc1ccc(CN2C(=O)c3ccccc3C2=O)cc1OC,4.061300024,3.706400022
UDOHUT,CCOC(=O)C(C1C(=O)N(CC)c2ccc(Br)cc12)=C(N)C(=O)c1ccc(Br)cc1,3.576600021,3.106500019
UDOMEI,Cc1ccc2nc(Cl)c(cc2c1)C1C2CCCN2C2(C1C(=O)c1ccccc1)C(=O)c1ccccc1C2=O,2.871100017,2.560400015
UDUBAX,COc1ccc(cc1)C#CC1=CSC(S1)=C1SC=CS1,2.975100018,2.521500015
UDUSOE,Cc1cc(C)c(N=C(C)c2cc(cc(n2)C(C)=Nc2c(C)cc(C)cc2C)B2OC(C)(C)C(C)(C)O2)c(C)c1,3.597100022,3.218100019
UDUSUK,Cc1cc(C)c(N=C(C)c2cc(cc(n2)C(C)=Nc2c(C)cc(C)cc2C)c2ccccc2c2cc(nc(c2)C(C)=Nc2c(C)cc(C)cc2C)C(C)=Nc2c(C)cc(C)cc2C)c(C)c1,3.514200021,3.081300018
UFAMAS,COc1cc(O)c2C(=O)C=C(OC)C(=O)c2c1O,2.394100014,1.935700012
UFAYUW,[Se]=P12[Se]P(=[Se])([Se]1)c1cccc3cccc2c13,2.975800018,2.662600016
UFEPEB,CC(C)=CCC1CC2(CC=C(C)C)C(=O)C(C(=C(C(=O)c3ccccc3)C2=O)O)C1(C)C,3.094200019,2.663000016
UFEXUB,COc1ccc(cc1)C1=NN(C)N=C1C(=O)C1=CC=CS1,3.613500022,3.172700019
UFIGAU,Cc1ccc(cc1)C1Oc2ccc(Br)cc2C2C(=C(OC12N=C(C#N)C(=O)C(C)(C)C)C(C)(C)C)C#N,3.057700018,2.589400015
UFIGEY,CC(C)(C)C(=O)C(=NC12OC(=C(C#N)C1c1cc(Cl)ccc1OC2c1ccccc1)C(C)(C)C)C#N,3.122900019,2.656100016
UFIGIC,COc1ccc(cc1)C1Oc2ccc(Cl)cc2C2C(=C(OC12N=C(C#N)C(=O)C(C)(C)C)C(C)(C)C)C#N,3.111100019,2.642600016
UFODID,CSC1=C(SC)SC(S1)=C1[Se]C2=C(SC(S2)=C2SC3=C(SCCS3)S2)[Se]1,2.454900015,2.244200013
UFODOJ,CSC1=C(SC)SC(S1)=C1SC2=C(S1)[Se]C([Se]2)=C1SC2=C(SCCS2)S1,2.636100016,2.368300014
UFONIO,CCOC(=O)C(C(C(=O)OCC)C(C(=O)OCC)=P(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)CCl,3.964500024,3.749600022
