ID,E(S1),E(T1),dST
YETGOT,4.1373,3.048902204,1.088397796
ABAROL,4.0715,2.980764839,1.090735161
ECADUI,4.7961,3.700397733,1.095702267
BUFJET,1.6382,0.539112414,1.099087586
HODHOY,1.7749,0.67427692,1.10062308
QUGJEJ,2.015,0.906765747,1.108234253
QUGJAF,2.0157,0.906548056,1.109151944
KAXTAH,2.8597,1.746101626,1.113598374
FAZJAR,3.9459,2.830122484,1.115777516
GEMDIL,2.4978,1.381904141,1.115895859
JUGLON,3.9323,2.815986158,1.116313842
JAYQUV,3.8703,2.752706029,1.117593972
KISGEA,2.318,1.199489747,1.118510253
YISYEE,4.8497,3.730830972,1.118869028
GEXMAA,3.3388,2.217941997,1.120858003
EFATAI,3.9962,2.874041697,1.122158303
KOVFUW,4.8253,3.703118874,1.122181126
DAXWEH,2.1843,1.060319722,1.123980278
HEVDAO,2.1822,1.056376789,1.125823211
PEMBEO,4.289,3.161557433,1.127442567
LANGOZ,2.4805,1.352434187,1.128065813
TOPBIK,4.6802,3.550952681,1.129247319
ROZQUT,1.7881,0.6519037,1.1361963
XIVYOQ,3.0035,1.866484894,1.137015106
CEXVAF,3.9328,2.787699899,1.145100101
TUHDUV,4.1292,2.980928107,1.148271893
HACFEW,3.9886,2.838647818,1.149952182
IYUYIL,2.8536,1.701420494,1.152179506
VIMPUF,4.3585,3.205204531,1.153295469
NORPEQ,3.9624,2.805577794,1.156822206
VEDZEJ,2.4808,1.321549239,1.159250761
MENQUS,2.0304,0.867554108,1.162845892
FOZQOA,4.1195,2.951975169,1.167524831
CEXTIL,2.8891,1.721475301,1.167624699
NABNOT,1.8677,0.698925013,1.168774987
NULGOS,2.0497,0.879445494,1.170254506
BONJIY,3.8987,2.728134127,1.170565873
WUKJET,4.1878,3.016275726,1.171524274
GIKBUA,4.3819,3.209639991,1.172260009
KOZMUJ,3.8769,2.701004353,1.175895647
ITIJUQ,1.5733,0.39109324,1.18220676
FOZQIU,4.1084,2.920600416,1.187799584
AJUWEH,1.6617,0.472580522,1.189119478
BOGHEM,2.9585,1.768523826,1.189976174
KOYMES,4.1196,2.928872684,1.190727316
ICETEX10,1.4637,0.272957633,1.190742367
SODWOX10,3.6945,2.50342232,1.19107768
IDAREN,4.0753,2.883748006,1.191551994
BOSECH,4.154,2.961744064,1.192255936
ROQJIQ,1.5145,0.322155859,1.192344141
ROQJAI,1.5323,0.339296325,1.193003675
WUSCET,4.2466,3.052548533,1.194051467
MUQXIH01,2.5394,1.342681618,1.196718382
WUSYEQ,4.8069,3.60151964,1.20538036
PEHYIK,4.061,2.855184191,1.205815809
AVONOQ,2.8768,1.669828049,1.206971951
RAHQIC,1.9943,0.78500286,1.20929714
BITBIS,1.5803,0.370428896,1.209871104
BOTRUY,4.1374,2.924927029,1.212472971
VUKQAU,4.1772,2.96416588,1.21303412
VORMUL,2.7715,1.55505033,1.21644967
RIFMAU,3.9636,2.74636577,1.21723423
BITBOY,1.537,0.315679544,1.221320456
BITBEO,1.5514,0.329829476,1.221570524
DOKKAR,2.5567,1.33357396,1.22312604
PIHJOI,2.5522,1.328324879,1.223875121
BOTSAF,4.1236,2.89904898,1.22455102
LEJCUA,2.1891,0.963773647,1.225326353
QOFHOJ,2.0897,0.862492786,1.227207214
HOZSUK,3.9694,2.742120791,1.227279209
KUWVAB,3.9874,2.757821773,1.229578227
WUKHER,4.1244,2.890831135,1.233568865
ONOBAW,1.9571,0.723322762,1.233777238
KOYMOC,4.0528,2.81651678,1.23628322
JECTEQ,3.7547,2.514470152,1.240229848
NEHHAL,3.8262,2.584811641,1.241388359
DERTID,3.9406,2.698364847,1.242235153
YODKAE,4.4106,3.168169805,1.242430195
BIMJIT,4.0542,2.811558862,1.242641138
WUKHUH,4.1129,2.86772865,1.24517135
ATULAC,2.2153,0.967300245,1.247999755
HONSIO,2.4295,1.181220008,1.248279992
EZEKEB,2.0657,0.816568093,1.249131907
HAGGIG,1.918,0.668284968,1.249715032
FEHRAM,4.2274,2.976955241,1.250444759
HAKPAL,2.241,0.990549672,1.250450328
WUSCAP,3.5868,2.333133329,1.253666671
KOGRUU,2.1213,0.867096957,1.254203043
OCUFID,4.3238,3.069446817,1.254353183
AREGIP,3.9996,2.744569818,1.255030182
BIRTEB,1.3946,0.137303322,1.257296678
PEKGAN,4.0942,2.836898125,1.257301875
WIKDOJ,4.0687,2.80568664,1.26301336
WUKJAP,4.2642,3.000656378,1.263543622
XEDWEI,3.7962,2.5300895,1.2661105
IZAPUV,4.0256,2.758665327,1.266934673
