ID,delta_r,
AVAPEU,3.802741,
HIDDEG,2.245285,
HIDXIB,1.756222,
HIFJOY,4.490801,
HIFJUE,4.983406,
HIFKAL,4.724122,
HIFQIY,1.626241,
HIFSIY,0.410665,
HIGCEF,2.073247,
HIGCIJ,3.481330,
HIGDAC,4.201474,
AVEGOX,0.956354,
HIGWUQ,1.599539,
HIGXAX,1.668108,
HIJBEK,2.257082,
HIJRIE,1.760510,
HIJROH,1.160578,
HIKQAT,1.957296,
HILPUP,3.413292,
HILSIH,3.717069,
HIMQIE,0.000496,
HIMTOM,5.862569,
AVEHAK,1.198083,
HINCUF,1.051681,
HINKOH,2.011406,
HIRJIC,3.711982,
HISCAO,1.385752,
HISDUJ,3.343027,
HISFIZ,2.942617,
HISMOM,1.076738,
HISNAB,3.572405,
HISTEL,1.543988,
HISZIV,1.002888,
AVITEE,1.872753,
HITSEL,1.236805,
HITSUB,2.066585,
HITTOU,0.000006,
HITTUA,0.000000,
HITVAI,0.000000,
HIVDIB,1.121050,
HIVMEF,1.969045,
HIVMIJ,0.050811,
HIVVIU,1.492677,
HIWZOC,3.024609,
AVOMOP,0.287860,
HIYBOJ,6.559675,
HIYKEH,0.000000,
HIYKOP01,3.613329,
HIZHUU,4.484114,
HMEASP,1.119680,
HMPXPO,2.060676,
HMPYQT,1.462643,
HMSPIO,2.851049,
HOBMIU,0.126986,
HOBXEB,0.938697,
AVONOQ,2.433742,
HOCFIR,1.200436,
HOCGEL,
HOCKUG,0.002385,
HODDUA,4.298284,
HODHOY,2.338296,
HODZAD,1.445523,
HOFDUC,1.552724,
HOFFAL,2.517984,
HOFHIT,3.689230,
HOFHOB,0.775169,
AVONUW,2.337384,
ACROEY,3.518356,
HOFJAO,1.428019,
HOFLET,2.742677,
HOFNUM,4.428019,
HOFVED01,0.084879,
HOGBOW,0.949829,
HOGYAF,4.409084,
HOHWIK,1.665457,
HOJCEQ,9.452181,
HOJFES,0.607586,
HOJFIW,0.530801,
AVUZEW,1.534075,
HOJFIY,0.752770,
HOJNID,0.281383,
HOJVIO,0.816804,
HOJWAH,0.906098,
HOKGAS,0.832844,
HOKGEW,1.476340,
HOKGIA,0.671468,
HOKKIC,3.436563,
HOLGEV,1.136460,
HOLGOF,0.451351,
AWABOQ,3.090293,
HOLXAJ,2.199843,
HOMCIX,1.307221,
HOMCUI,3.546891,
HOMDUI,2.254680,
HOMYEQ,2.903326,
HONFIA,2.619874,
HONKAZ,6.099689,
HONKED,10.809366,
HONKIH,10.826494,
HONKON,10.954704,
AWEFOX,1.068845,
HONSIO,1.200905,
HONTIN,4.688374,
HONXUG,5.564663,
HOPBEV,2.277152,
HOQZIZ,1.376652,
HORBEX,1.986087,
HORMOS,4.140477,
HOSWAQ,2.564683,
HOSWOE,1.723103,
HOTNEK,3.666191,
AWEFUD,1.363094,
HOTSEQ,4.083298,
HOVFAC,0.766679,
HOVFIK,2.324672,
HOVGUU,1.673287,
HOWJAH,0.823769,
HOWPAK,0.476033,
HOWPEO,1.307759,
HOXDUV,2.622009,
HOYGIL,4.714570,
HOZSUK,0.446604,
AWEMOF,2.561948,
HOZYUT,2.001218,
HPCBDP10,0.319117,
HRBMCN,2.131354,
HTPSTP,2.728786,
HUBVUV,5.054040,
HUDDAN,2.661229,
HUDVOS,0.377689,
HUDZAJ,2.200640,
HUFLAX,1.149542,
HUFSAF,3.488666,
AWIKUN,2.900286,
HUFSEJ,3.491841,
HUFSIM,0.690240,
HUFSIN,5.728578,
HUFSOT,5.332618,
HUFSUY,1.645341,
HUFVAH,3.476692,
HUFVEL,3.564618,
HUFVIP,3.697384,
HUFVOV,3.877133,
HUFWEM,4.235328,
AWIVUX,2.241695,
HUGFOH,3.483393,
HUHJOM,2.283000,
HUHJUS,2.281610,
HUHKED,2.253959,
HUHKIH,2.251499,
HUJPEK,2.906500,
HUKBUL,1.253832,
HUKCUN,4.129229,
HUKQEL,4.237873,
HUKQIP,3.756109,
AWIWIO,3.945920,
HUKTEM,1.755433,
HULPEM,3.829538,
HUMLOR,0.000001,
HUNDEZ,3.041333,
HUNLEJ,3.373970,
HUPJOU,3.581718,
HUPWEX,1.608571,
HUQBEA,2.731497,
HUQLIR,3.171962,
HUQLOX,3.144478,
AWOLIJ,1.559666,
HUQPUG,0.761593,
HURMAK,3.113481,
HURXIE,0.742958,
HURXOH,1.781963,
HURXOK,0.953566,
HURXUQ,1.019813,
HUSCEF,3.413443,
HUSSAR,3.427229,
HUVDUY,5.675425,
HUWCUZ,2.354910,
AWUBID,2.819300,
ACUYAA,2.805746,
HUWYEG,4.083825,
HUXFUB,1.491462,
HUXKOC,2.809170,
HUXLIX,2.521681,
HUXLOD,1.252512,
HUXLUJ,2.541667,
HUYTAY,4.028093,
HUZQIF,1.773500,
HXNIPA10,2.928024,
HYBZRN,1.570197,
AWUDON,1.631485,
HYFURN,0.428126,
IANTRQ,0.000000,
IBCAPT10,1.452506,
IBEMOU01,1.278780,
IBENAH,1.282157,
IBENEL,1.274036,
IBODOV,0.417779,
IBOZOO,2.791657,
IBUKIB,1.836600,
IBUSUV,6.450932,
AWUFOP,2.635623,
IBUTIK,1.902615,
ICAHEA,3.579313,
ICAHIE,0.000000,
ICAHUQ,3.726794,
ICECAU,1.377164,
ICEKOT,2.018742,
ICIFUY,6.009398,
ICILIP,1.955801,
ICILUB,0.056928,
ICIWIB,3.288434,
AWUKEJ,3.153733,
ICIWOH,3.312182,
IDAREN,2.348949,
IDAWUI,4.275079,
IDEBUR,1.672696,
IDEHEE,3.011960,
IDEYUN,2.492507,
IDIREU,3.858806,
IDIVEY,1.856530,
